time,x,y,z,roll,pitch,yaw,vx,vy,vz,ax,ay,az
3.0200,24.8161,-12.4080,2387.5206,0.044932,0.090275,-0.000202,-6.9581,3.4791,-199.6972,2.3364,-1.1682,20.2049
3.0400,24.6778,-12.3389,2383.5347,0.045103,0.090545,-0.000178,-6.9114,3.4557,-199.2931,2.3194,-1.1597,19.9891
3.0600,24.5405,-12.2703,2379.5568,0.045261,0.090797,-0.000157,-6.8650,3.4325,-198.8933,2.3025,-1.1513,19.7778
3.0800,24.4042,-12.2021,2375.5869,0.045406,0.091032,-0.000139,-6.8190,3.4095,-198.4978,2.2859,-1.1429,19.5710
3.1000,24.2687,-12.1343,2371.6247,0.045540,0.091251,-0.000122,-6.7733,3.3866,-198.1064,2.2694,-1.1347,19.3685
3.1200,24.1341,-12.0671,2367.6704,0.045664,0.091454,-0.000108,-6.7279,3.3639,-197.7190,2.2530,-1.1265,19.1703
3.1400,24.0005,-12.0002,2363.7237,0.045777,0.091642,-0.000095,-6.6828,3.3414,-197.3356,2.2368,-1.1184,18.9762
3.1600,23.8677,-11.9339,2359.7845,0.045881,0.091816,-0.000084,-6.6381,3.3190,-196.9561,2.2208,-1.1104,18.7862
3.1800,23.7358,-11.8679,2355.8529,0.045977,0.091977,-0.000074,-6.5937,3.2968,-196.5803,2.2049,-1.1024,18.6002
3.2000,23.6049,-11.8024,2351.9288,0.046064,0.092125,-0.000065,-6.5496,3.2748,-196.2083,2.1891,-1.0946,18.4181
3.2200,23.4747,-11.7374,2348.0120,0.046143,0.092260,-0.000058,-6.5058,3.2529,-195.8400,2.1736,-1.0868,18.2397
3.2400,23.3455,-11.6727,2344.1025,0.046215,0.092383,-0.000051,-6.4623,3.2312,-195.4752,2.1581,-1.0790,18.0651
3.2600,23.2171,-11.6086,2340.2002,0.046280,0.092494,-0.000045,-6.4191,3.2096,-195.1139,2.1428,-1.0714,17.8941
3.2800,23.0896,-11.5448,2336.3051,0.046338,0.092594,-0.000040,-6.3763,3.1881,-194.7560,2.1276,-1.0638,17.7267
3.3000,22.9629,-11.4815,2332.4170,0.046390,0.092683,-0.000035,-6.3337,3.1669,-194.4015,2.1126,-1.0563,17.5628
3.3200,22.8371,-11.4185,2328.5360,0.046435,0.092761,-0.000031,-6.2915,3.1457,-194.0502,2.0977,-1.0488,17.4023
3.3400,22.7121,-11.3560,2324.6620,0.046475,0.092829,-0.000027,-6.2495,3.1248,-193.7022,2.0829,-1.0415,17.2451
3.3600,22.5879,-11.2940,2320.7948,0.046508,0.092886,-0.000024,-6.2079,3.1039,-193.3573,2.0683,-1.0341,17.0912
3.3800,22.4646,-11.2323,2316.9345,0.046536,0.092933,-0.000021,-6.1665,3.0833,-193.0154,2.0538,-1.0269,16.9405
3.4000,22.3421,-11.1710,2313.0810,0.046558,0.092970,-0.000019,-6.1254,3.0627,-192.6766,2.0394,-1.0197,16.7928
3.4200,22.2204,-11.1102,2309.2342,0.046575,0.092997,-0.000017,-6.0846,3.0423,-192.3408,2.0251,-1.0126,16.6483
3.4400,22.0995,-11.0498,2305.3940,0.046587,0.093015,-0.000015,-6.0441,3.0221,-192.0078,2.0110,-1.0055,16.5067
3.4600,21.9794,-10.9897,2301.5605,0.046593,0.093023,-0.000013,-6.0039,3.0020,-191.6777,1.9970,-0.9985,16.3681
3.4800,21.8602,-10.9301,2297.7335,0.046595,0.093021,-0.000011,-5.9640,2.9820,-191.3503,1.9831,-0.9916,16.2323
3.5000,21.7417,-10.8708,2293.9130,0.046591,0.093011,-0.000010,-5.9243,2.9622,-191.0257,1.9694,-0.9847,16.0993
3.5200,21.6240,-10.8120,2290.0989,0.046583,0.092991,-0.000009,-5.8849,2.9425,-190.7037,1.9557,-0.9779,15.9691
3.5400,21.5071,-10.7535,2286.2912,0.046570,0.092963,-0.000008,-5.8458,2.9229,-190.3843,1.9422,-0.9711,15.8415
3.5600,21.3909,-10.6955,2282.4898,0.046553,0.092925,-0.000007,-5.8070,2.9035,-190.0675,1.9287,-0.9644,15.7165
3.5800,21.2755,-10.6378,2278.6948,0.046531,0.092879,-0.000006,-5.7684,2.8842,-189.7531,1.9154,-0.9577,15.5941
3.6000,21.1609,-10.5805,2274.9060,0.046504,0.092824,-0.000005,-5.7301,2.8650,-189.4412,1.9022,-0.9511,15.4742
3.6200,21.0471,-10.5236,2271.1233,0.046473,0.092760,-0.000005,-5.6920,2.8460,-189.1318,1.8891,-0.9446,15.3568
3.6400,20.9340,-10.4670,2267.3468,0.046438,0.092689,-0.000004,-5.6543,2.8271,-188.8246,1.8762,-0.9381,15.2418
3.6600,20.8217,-10.4108,2263.5764,0.046398,0.092608,-0.000004,-5.6167,2.8084,-188.5198,1.8633,-0.9316,15.1291
